"Year","Yearly_Ranking","Title","Studio","Total_Gross","Number_of_Theaters","Opening_Gross","Number_of_Opening_Theaters","Open_Date","End_Date","Running.time","Genre","Rating","Open_Month","End_Month","Playing_day","Running.length","Gross_level","Ranking"
"2013","48","Safe Haven","Rela.",71349120,3223,21401594,3223,"2/14","5/30",115,"Romance","PG-13","Feb",5,105,"medium","0","5"
"2013","49","The Smurfs 2","Sony",71017784,3867,17548389,3866,"7/31","11/17",105,"Family Comedy","PG","Jul",11,109,"medium","0","5"
"2013","50","The Best Man Holiday","Uni.",70525195,2041,30107555,2024,"11/15","1/9",122,"Comedy / Drama","R","Nov",1,55,"long","0","5"
"2013","51","Percy Jackson: Sea of Monsters","Fox",68559554,3080,14401054,3031,"8/7","1/30",106,"Fantasy","PG","Aug",1,176,"medium","0","6"
"2013","52","A Good Day to Die Hard","Fox",67349198,3555,24834845,3553,"2/14","5/23",97,"Action","R","Feb",5,98,"medium","0","6"
"2013","53","Warm Bodies","LG/S",66380662,3009,20353967,3009,"2/1","5/9",97,"Drama","PG-13","Feb",5,97,"medium","0","6"
"2013","54","Jack the Giant Slayer","WB",65187603,3525,27202226,3525,"3/1","6/13",114,"Adventure","PG-13","Mar",6,104,"medium","0","6"
"2013","55","The Purge","Uni.",64473115,2591,34058360,2536,"6/7","8/8",85,"Thriller","R","Jun",8,62,"short","0","6"
"2013","56","Last Vegas","CBS",63914167,3237,16334566,3065,"11/1","2/20",90,"Comedy","PG-13","Nov",2,111,"medium","0","6"
"2013","57","Ender's Game","LG/S",61737191,3407,27017351,3407,"11/1","1/9",114,"Sci-Fi","PG-13","Nov",1,69,"medium","0","6"
"2013","58","Prisoners","WB",61002302,3290,20817053,3260,"9/20","12/5",146,"Action Thriller","R","Sep",12,76,"long","0","6"
"2013","59","After Earth","Sony",60522097,3401,27520040,3401,"5/31","8/18",100,"Sci-Fi","PG-13","May",8,79,"medium","0","6"
"2013","60","The Secret Life of Walter Mitty","Fox",58236838,2922,12765508,2909,"12/25","4/10",114,"Comedy","PG","Dec",4,106,"medium","0","6"
"2013","61","Escape From Planet Earth","Wein.",57012977,3353,15891055,3288,"2/15","7/25",89,"Animation","PG","Feb",7,160,"short","0","7"
"2013","62","12 Years a Slave","FoxS",56671993,1474,923715,19,"10/18","5/8",133,"Drama","R","Oct",5,202,"long","0","7"
"2013","63","Free Birds","Rela.",55750480,3736,15805237,3736,"11/1","3/20",90,"Animation","PG","Nov",3,139,"medium","0","7"
"2013","64","Hansel and Gretel: Witch Hunters","Par.",55703475,3375,19690956,3372,"1/25","4/25",88,"Action Comedy","R","Jan",4,90,"short","0","7"
"2013","65","Evil Dead (2013)","TriS",54239856,3025,25775847,3025,"4/5","6/9",91,"Horror","R","Apr",6,65,"medium","0","7"
"2013","66","Red 2","LG/S",53262560,3016,18048422,3016,"7/19","10/17",116,"Action Comedy","PG-13","Jul",10,90,"medium","0","7"
"2013","67","Tyler Perry's A Madea Christmas","LGF",52543354,2194,16007634,2194,"12/13","2/13",105,"Comedy","PG-13","Dec",2,62,"medium","0","7"
"2013","68","Tyler Perry's Temptation: Confessions of a Marriage Counselor","LGF",51975354,2047,21641679,2047,"3/29","5/30",111,"Drama","PG-13","Mar",5,62,"medium","0","7"
"2013","69","The Call","TriS",51872378,2507,17118745,2507,"3/15","6/9",95,"Thriller","R","Mar",6,86,"medium","0","7"
"2013","70","Pain and Gain","Par.",49875291,3303,20244505,3277,"4/26","8/29",129,"Action","R","Apr",8,125,"long","0","7"
"2013","71","Gangster Squad","WB",46000903,3103,17070347,3103,"1/11","4/4",113,"Crime Drama","R","Jan",4,83,"medium","0","8"
"2013","72","Jurassic Park 3D","Uni.",45385935,2778,18620145,2771,"4/5","5/23",127,"Sci-Fi Horror","PG-13","Apr",5,48,"long","0","8"
"2013","73","The Internship","Fox",44672764,3399,17325307,3366,"6/7","9/12",119,"Comedy","PG-13","Jun",9,97,"medium","0","8"
"2013","74","Instructions Not Included","LGF",44467206,978,7846426,348,"8/30","12/12",115,"Foreign","PG-13","Aug",12,104,"medium","0","8"
"2013","75","Snitch","LG/S",42930462,2511,13167607,2511,"2/22","5/30",112,"Action","PG-13","Feb",5,97,"medium","0","8"
"2013","76","Riddick","Uni.",42025135,3117,19030375,3107,"9/6","10/31",119,"Sci-Fi Fantasy","R","Sep",10,55,"medium","0","8"
"2013","77","A Haunted House","ORF",40041683,2160,18101682,2160,"1/11","3/3",80,"Comedy","R","Jan",3,51,"short","0","8"
"2013","78","47 Ronin","Uni.",38362475,2690,9910310,2689,"12/25","2/6",127,"Action Drama","PG-13","Dec",2,43,"long","0","8"
"2013","79","August: Osage County","Wein.",37738810,2411,179302,5,"12/27","5/8",130,"Comedy / Drama","R","Dec",5,132,"long","0","8"
"2013","80","Philomena","Wein.",37709979,1225,128435,4,"11/22","5/22",95,"Drama","PG-13","Nov",5,181,"medium","0","8"
"2013","81","The Family (2013)","Rela.",36918811,3091,14034764,3091,"9/13","1/9",112,"Action Comedy","R","Sep",1,118,"medium","0","9"
"2013","82","Walking with Dinosaurs","Fox",36076121,3243,7091938,3231,"12/20","4/10",87,"Family Adventure","PG","Dec",4,111,"short","0","9"
"2013","83","Carrie (2013)","SGem",35266619,3157,16101552,3157,"10/18","11/24",92,"Horror","R","Oct",11,37,"medium","0","9"
"2013","84","Texas Chainsaw 3D","LGF",34341945,2659,21744470,2654,"1/4","2/28",92,"Horror","R","Jan",2,55,"medium","0","9"
"2013","85","R.I.P.D.","Uni.",33618855,2852,12691415,2852,"7/19","9/26",96,"Action / Adventure","PG-13","Jul",9,69,"medium","0","9"
"2013","86","Blue Jasmine","SPC",33405481,1283,612064,6,"7/26","4/3",98,"Comedy","PG-13","Jul",4,251,"medium","0","9"
"2013","87","Kevin Hart: Let Me Explain","LG/S",32244051,892,10030463,876,"7/3","8/22",75,"Concert","R","Jul",8,50,"short","0","9"
"2013","88","Side Effects (2013)","ORF",32172757,2605,9303145,2605,"2/8","5/16",106,"Thriller","R","Feb",5,97,"medium","0","9"
"2013","89","Scary Movie 5","W/Dim.",32015787,3402,14157367,3402,"4/12","7/25",85,"Comedy","PG-13","Apr",7,104,"short","0","9"
"2013","90","The Mortal Instruments: City of Bones","SGem",31165421,3118,9336957,3118,"8/21","10/6",120,"Fantasy Drama","PG-13","Aug",10,46,"long","0","9"
"2013","91","Delivery Man","BV",30664106,3036,7944977,3036,"11/22","3/20",105,"Comedy","PG-13","Nov",3,118,"medium","0","10"
"2013","92","Grudge Match","WB",29807260,2856,7021993,2838,"12/25","3/13",113,"Sports Comedy","PG-13","Dec",3,78,"medium","0","10"
"2013","93","One Direction: This is Us","TriS",28873374,2735,15815497,2735,"8/30","10/6",92,"Concert","PG","Aug",10,37,"medium","0","10"
"2013","94","Kick-Ass 2","Uni.",28795985,2945,13332955,2940,"8/16","9/26",103,"Action Comedy","R","Aug",9,41,"medium","0","10"
"2013","95","Dallas Buyers Club","Focus",27298285,1110,260865,9,"11/1","5/1",117,"Drama","R","Nov",5,181,"medium","0","10"
"2013","96","Rush (2013)","Uni.",26947624,2308,187289,5,"9/20","11/21",123,"Action Drama","R","Sep",11,62,"long","0","10"
"2013","97","The Host (2013)","ORF",26627201,3202,10600112,3202,"3/29","5/30",125,"Sci-Fi Thriller","PG-13","Mar",5,62,"long","0","10"
"2013","98","The World's End","Focus",26004851,1553,8811790,1551,"8/23","12/5",109,"Comedy","R","Aug",12,104,"medium","0","10"
"2013","99","21 and Over","Rela.",25682380,2771,8754168,2771,"3/1","5/16",93,"Comedy","R","Mar",5,76,"medium","0","10"
"2013","100","Her (2013)","WB",25568251,1729,260382,6,"12/18","4/17",120,"Comedy / Drama","R","Dec",4,120,"long","0","10"
"2014","1","American Sniper","WB",350126372,3885,633456,4,"12/25","6/25",132,"Drama","R","Dec",6,182,"long","3","1"
"2014","2","The Hunger Games: Mockingjay - Part 1","LGF",337135885,4151,121897634,4151,"11/21","3/19",123,"Action / Adventure","PG-13","Nov",3,118,"long","3","1"
"2014","3","Guardians of the Galaxy","BV",333176600,4088,94320883,4080,"8/1","1/22",121,"Action / Adventure","PG-13","Aug",1,174,"long","3","1"
"2014","4","Captain America: The Winter Soldier","BV",259766572,3938,95023721,3938,"4/4","8/21",136,"Action / Adventure","PG-13","Apr",8,139,"long","2","1"
"2014","5","The LEGO Movie","WB",257760692,3890,69050279,3775,"2/7","9/4",100,"Animation","PG","Feb",9,209,"medium","2","1"
